382651,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0,0,0
382650,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0,0,0
382649,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0,0,0
382648,2015-11-08 21:36:33 +0200,2,3,0,3,0,0,4,0,1,2,0
382647,2015-11-08 21:17:38 +0200,0,2,0,0,0,0,0,0,0,0,0
382646,2015-11-08 21:15:48 +0200,1,5,0,0,0,0,0,0,0,0,0
382645,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0,0,0
382644,2015-11-08 21:01:43 +0200,1,3,0,0,1,0,0,0,0,0,0
382643,2015-11-08 20:55:21 +0200,2,8,0,0,0,6,0,0,0,0,0
382642,2015-11-08 20:39:39 +0200,0,6,0,0,0,0,0,0,0,0,0
382641,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0,0,0
382640,2015-11-08 20:33:52 +0200,0,0,0,0,0,0,1,0,0,0,0
382639,2015-11-08 20:31:51 +0200,1,3,0,0,1,0,0,0,0,0,0
382638,2015-11-08 20:22:24 +0200,1,0,0,0,0,0,0,0,0,0,0
382637,2015-11-08 20:18:35 +0200,0,0,0,0,0,0,0,0,65,0,0
382636,2015-11-08 20:13:49 +0200,0,0,4,0,0,0,6,0,0,0,1
382635,2015-11-08 20:11:22 +0200,2,2,0,0,0,0,0,0,0,0,2
382634,2015-11-08 19:54:58 +0200,1,1,2,0,0,0,0,0,0,0,2
382633,2015-11-08 19:50:24 +0200,1,1,0,7,0,0,1,0,85,0,0
382632,2015-11-08 19:38:53 +0200,2,2,0,0,0,0,0,0,0,0,5
382631,2015-11-08 19:19:42 +0200,1,5,0,0,0,1,4,0,0,0,1
382630,2015-11-08 19:02:57 +0200,1,0,0,0,0,0,0,0,0,0,0
382629,2015-11-08 19:01:58 +0200,2,1,0,0,0,0,0,0,0,0,0
382628,2015-11-08 18:50:29 +0200,0,1,0,0,0,0,0,0,0,0,0
382627,2015-11-08 18:33:45 +0200,2,5,0,0,0,0,0,0,0,0,0
382626,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0,0,0
382625,2015-11-08 18:16:37 +0200,0,0,0,7,0,0,1,0,0,2,0
382624,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0,0,0
382623,2015-11-08 18:12:01 +0200,2,2,0,1,0,0,2,0,0,0,1
382622,2015-11-08 18:05:07 +0200,1,2,0,1,0,0,2,0,0,0,0,1
382621,2015-11-08 17:57:56 +0200,1,2,3,0,0,0,0,0,0,0,1,0
382620,2015-11-08 17:31:05 +0200,3,5,2,0,0,0,0,0,0,0,0,0
382619,2015-11-08 17:04:15 +0200,0,1,1,0,0,1,0,0,0,0,0,0
382618,2015-11-08 17:03:50 +0200,2,6,0,0,0,0,0,0,0,0,0,0
382617,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0,0,0,0
382616,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0,0,0,0
382615,2015-11-08 16:42:35 +0200,0,1,0,0,0,0,0,0,0,0,0,0
382614,2015-11-08 16:41:18 +0200,1,0,0,5,1,0,1,0,0,0,0,0
382613,2015-11-08 16:36:37 +0200,2,2,0,0,0,0,0,0,0,0,0,0
382612,2015-11-08 16:15:48 +0200,0,2,0,0,0,0,0,0,0,0,0,0
382611,2015-11-08 16:11:28 +0200,1,0,0,0,0,0,0,0,0,0,0,0
382610,2015-11-08 16:09:24 +0200,1,2,3,0,0,0,0,0,0,0,0,0
382609,2015-11-08 15:54:43 +0200,1,1,0,0,0,0,0,0,0,0,0,0
382608,2015-11-08 15:45:35 +0200,0,1,0,0,0,0,0,0,0,0,0,0
382607,2015-11-08 15:40:22 +0200,1,3,0,0,0,0,0,0,0,0,0,0
382606,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0,0,0,0
382605,2015-11-08 15:31:04 +0200,1,1,7,0,0,0,0,0,0,0,0,0
382604,2015-11-08 15:28:55 +0200,1,3,0,0,0,0,0,0,0,0,0,0
382603,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0,0,0,0
382602,2015-11-08 15:12:23 +0200,2,2,1,0,0,0,0,0,0,0,0,0
382601,2015-11-08 14:58:33 +0200,0,4,4,0,0,0,0,0,0,0,0,0
382600,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0,0,0,0
382599,2015-11-08 14:50:58 +0200,2,1,0,0,0,0,0,0,0,0,0,0
382598,2015-11-08 14:37:03 +0200,3,2,0,0,0,0,0,0,0,0,0,0
382597,2015-11-08 14:09:02 +0200,2,10,0,0,0,0,1,0,0,0,0,0
382596,2015-11-08 13:47:12 +0200,1,6,0,9,0,0,1,0,0,0,0,0
382595,2015-11-08 13:36:57 +0200,2,2,0,0,0,0,0,0,0,0,1,0
382594,2015-11-08 13:15:22 +0200,1,4,0,0,0,0,0,0,0,0,0,0
382593,2015-11-08 13:05:01 +0200,0,2,0,0,0,0,0,0,0,0,0,0
382592,2015-11-08 13:00:53 +0200,1,2,0,0,0,0,0,0,0,0,0,0
382591,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0,0,0,0
382590,2015-11-08 12:51:46 +0200,2,2,0,0,0,0,0,0,0,0,0,0
382589,2015-11-08 12:34:24 +0200,6,3,0,0,0,0,0,0,0,0,7,0
382588,2015-11-08 11:38:10 +0200,2,7,0,0,0,0,0,0,0,0,0,0
382587,2015-11-08 11:13:18 +0200,1,6,0,0,0,0,0,0,0,0,2,0
382586,2015-11-08 11:08:02 +0200,2,3,0,3,0,0,1,0,0,0,1,0
382585,2015-11-08 10:43:28 +0200,2,3,0,25,0,0,0,0,1,0,0,0
382584,2015-11-08 10:21:52 +0200,3,1,0,6,0,0,0,0,0,0,0,0
382583,2015-11-08 09:57:48 +0200,0,2,0,0,0,0,0,0,0,0,0,0
382582,2015-11-08 09:54:30 +0200,1,1,0,0,0,0,0,0,0,0,0,0
382581,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0,0,0,0
382580,2015-11-08 09:47:42 +0200,0,2,0,0,0,0,0,0,0,0,0,0
382579,2015-11-08 09:43:23 +0200,1,1,0,16,0,0,0,0,0,0,0,0
382578,2015-11-08 09:38:38 +0200,0,1,0,3,0,0,0,0,0,0,0,0
382577,2015-11-08 09:30:13 +0200,2,3,0,0,0,0,0,0,0,0,0,0,1
382576,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0,0,0,0,0
382575,2015-11-08 09:12:29 +0200,1,2,0,0,0,0,0,0,0,0,0,0,0
382574,2015-11-08 09:02:52 +0200,0,1,0,0,0,0,0,0,0,0,0,0,0
382573,2015-11-08 09:01:16 +0200,3,3,0,0,0,0,0,0,0,0,0,0,0
382572,2015-11-08 08:38:27 +0200,0,1,0,0,0,0,0,0,0,0,0,0,0
382571,2015-11-08 08:34:21 +0200,2,3,0,0,0,0,0,0,0,0,0,0,0
382570,2015-11-08 08:19:10 +0200,0,1,0,0,0,0,0,0,0,0,0,0,0
382569,2015-11-08 08:12:00 +0200,2,5,0,0,0,0,0,0,0,0,0,0,0
382568,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0,0,0,0,0
382567,2015-11-08 07:58:13 +0200,0,1,2,3,0,0,0,0,0,0,0,0,0
382566,2015-11-08 07:53:51 +0200,4,1,0,0,0,0,0,0,0,0,0,0,0
382565,2015-11-08 07:19:18 +0200,2,3,0,7,0,0,0,0,0,0,0,0,0
382564,2015-11-08 06:55:08 +0200,1,1,0,0,0,0,0,0,0,0,0,0,0
382563,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0,0,0,0,0
382562,2015-11-08 06:45:25 +0200,1,3,0,0,0,0,0,0,0,0,0,0,0
382561,2015-11-08 06:30:47 +0200,1,2,0,0,0,0,0,0,0,0,0,0,0
