date	Factom	unknown	Ascribe	Open Assets	Proof of Existence	Monegraph	Eternity Wall	BlockSign	Colu	Omni Layer	Stampery	Remembr	Bitproof	Blockstore	CoinSpark	stampd
2015-11-09 22:52	1	1
2015-11-09 22:30	2	9	2
2015-11-09 22:12	1	0	0
2015-11-09 22:02	1	1	0
2015-11-09 21:56	0	0	0
2015-11-09 21:38	2	4	2	2
2015-11-09 21:37	0	1	0	0
2015-11-09 21:29	1	15	0	0
2015-11-09 21:23	0	3	0	1
2015-11-09 21:12	1	8	0	1
2015-11-09 21:12	
2015-11-09 20:10	
2015-11-09 20:03	
2015-11-09 19:52	
2015-11-09 19:38	
2015-11-09 19:34	
2015-11-09 19:29	
2015-11-09 19:20	
2015-11-09 19:14	
2015-11-09 19:10	
2015-11-09 18:57	
2015-11-09 19:02	
2015-11-09 18:41	
