date	Factom	Ascribe	unknown	Open Assets	Proof of Existence	Colu	Monegraph	Blockstore	Stampery	BlockSign	Omni Layer	Eternity Wall	CoinSpark	LaPreuve	Bitproof	Remembr	stampd	Crypto Copyright	OriginalMy	ProveBit	21	22	23	24	25	26	27	28	29	30	TOTAL	CUMMULATIVE
2015-11-25	93	15	256	7	1	62	6	46	35	18	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	543	289188
2015-11-24	144	37	361	25	3	55	247	28	5	0	0	8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	915	288273
2015-11-23	144	55	328	40	5	44	44	24	46	0	2	5	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	741	287532
2015-11-22	147	90	436	19	4	48	1	2	218	1	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	973	286559
2015-11-21	141	24	363	20	1	102	19	0	0	0	4	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	679	285880
2015-11-20	144	67	398	37	5	46	330	1	300	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1331	284549
2015-11-19	144	20	616	58	6	18	69	4	72	0	0	7	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1016	283533
2015-11-18	144	42	703	33	14	82	74	1	77	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1176	282357
2015-11-17	146	64	671	41	9	97	42	12	15	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1106	281251
2015-11-16	142	35	606	42	2	55	12	47	3	0	2	14	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	965	280286
2015-11-15	145	41	610	19	7	42	0	167	2	0	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1043	279243
2015-11-14	143	35	433	19	9	56	12	114	0	0	10	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	840	278403
2015-11-13	146	36	550	23	5	43	30	32	4	0	6	20	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	896	277507
2015-11-12	142	81	519	24	5	51	66	112	6	0	3	163	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1173	276334
2015-11-11	147	48	431	81	4	51	59	3	6	0	6	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	873	275461
2015-11-10	142	80	552	82	6	17	45	31	14	0	2	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	981	274480
2015-11-09	143	54	688	145	5	14	34	0	8	1	4	26	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1123	273357
2015-11-08	145	34	278	138	4	181	10	0	24	0	6	35	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	857	272500
2015-11-07	144	74	265	148	15	243	1	211	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1109	271391
2015-11-06	140	42	231	157	4	3	66	1	25	0	0	8	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	686	270705
2015-11-05	145	69	463	210	5	13	15	0	0	0	0	9	681	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1611	269094
2015-11-04	143	76	297	107	5	0	153	37	0	0	2	10	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1013	268081
2015-11-03	144	66	388	209	11	38	366	87	0	0	0	7	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1547	266534
2015-11-02	146	567	616	95	12	53	1916	10	0	0	2	11	381	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3810	262724
2015-11-01	142	78	486	90	3	78	60	41	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	982	261742
2015-10-31	144	40	362	90	1	59	164	26	1	0	2	7	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	998	260744
2015-10-30	147	1109	550	81	1	52	521	345	6	0	4	6	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2833	257911
2015-10-29	141	984	4319	105	5	69	252	43	0	2	4	21	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5946	251965
2015-10-28	145	4	1628	82	3	27	820	21	1	0	2	8	19	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2762	249203
2015-10-27	147	10	449	90	5	127	87	3	5	0	4	7	7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	943	248260
2015-10-26	143	0	459	85	2	46	17	194	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	952	247308
2015-10-25	185	0	361	82	1	90	12	3	0	0	0	12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	747	246561
2015-10-24	113	0	803	85	3	64	14	313	2	0	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1404	245157
2015-10-23	141	0	501	83	5	92	115	270	13	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1223	243934
2015-10-22	144	0	887	108	2	90	17	67	0	0	0	6	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1418	242516
2015-10-21	144	0	1321	113	11	8	1286	226	0	0	10	17	133	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3273	239243
2015-10-20	144	0	521	91	5	1	704	17	1	0	2	4	137	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1628	237615
2015-10-19	156	0	296	75	6	0	222	49	0	0	6	12	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	967	236648
2015-10-18	152	0	399	54	3	0	187	2	0	0	3	8	144	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	955	235693
2015-10-17	144	0	168	77	1	0	47	215	0	0	0	8	154	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	816	234877
2015-10-16	145	0	427	105	2	35	71	1	0	0	0	5	225	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1017	233860
2015-10-15	143	0	394	121	8	46	73	2	0	0	0	3	157	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	948	232912
2015-10-14	163	0	386	76	6	80	711	0	0	0	2	4	195	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1628	231284
2015-10-13	237	0	418	182	7	23	316	0	1	0	2	5	165	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1357	229927
2015-10-12	283	0	508	102	4	11	201	0	2	0	0	10	227	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1349	228578
2015-10-11	98	0	567	88	1	15	8	1	0	0	0	14	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	914	227664
2015-10-10	75	0	217	92	2	4	16	47	0	0	0	14	72	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	540	227124
2015-10-09	139	0	321	109	3	3	546	4	0	0	0	3	189	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1321	225803
2015-10-08	130	4	498	114	5	23	1543	361	0	0	0	6	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2822	222981
2015-10-07	143	14	421	126	5	75	150	0	3	0	0	3	157	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1098	221883
2015-10-06	144	33	774	125	2	66	104	0	0	0	6	4	182	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1441	220442
2015-10-05	226	44	169	111	1	39	13	0	0	0	0	17	179	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	800	219642
2015-10-04	234	0	156	97	3	24	17	0	0	0	2	8	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	698	218944
2015-10-03	145	0	135	79	1	7	105	0	0	0	0	15	145	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	633	218311
2015-10-02	166	0	612	118	1	10	172	0	5	0	4	2	141	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1233	217078
2015-10-01	147	93	356	225	1	65	149	0	1	0	1	13	143	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1196	215882
2015-09-30	143	62	546	275	4	102	434	192	0	0	0	7	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1928	213954
2015-09-29	145	34	294	305	3	68	592	2	0	1	0	18	250	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1713	212241
2015-09-28	144	67	197	424	4	51	514	0	0	2	0	1	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1550	210691
2015-09-27	145	38	366	329	2	52	258	0	0	1	4	9	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1355	209336
2015-09-26	136	30	103	182	2	53	386	0	0	0	4	3	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1049	208287
2015-09-25	145	39	214	276	0	62	186	0	0	7	4	5	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1096	207191
2015-09-24	144	74	116	103	2	57	101	0	0	1	0	15	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	870	206321
2015-09-23	147	74	213	119	3	52	21	1454	0	1	10	7	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2267	204054
2015-09-22	143	25	374	112	3	53	48	0	0	4	0	1	211	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	976	203078
2015-09-21	145	55	262	126	4	62	15	0	0	0	8	1	157	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	836	202242
2015-09-20	145	0	252	64	7	50	0	0	0	1	0	2	175	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	710	201532
2015-09-19	143	110	114	99	0	31	6	0	0	0	2	0	143	0	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	655	200877
2015-09-18	143	116	3591	128	0	349	6	0	0	3	2	6	144	0	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	4496	196381
2015-09-17	144	95	3806	160	0	6	6	0	0	3	4	2	145	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4375	192006
2015-09-16	144	111	1082	104	0	0	0	0	0	0	2	7	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1513	190493
2015-09-15	143	51	2141	101	2	1	0	0	0	0	0	3	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2447	188046
2015-09-14	144	45	14656	80	0	0	24	1226	0	5	4	1	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	16189	171857
2015-09-13	145	9	19540	85	0	0	1	0	0	0	6	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	19790	152067
2015-09-12	145	31	428	116	0	0	12	21054	1	2	0	2	2	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	21796	130271
2015-09-11	143	41	459	98	1	0	0	5957	0	2	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6706	123565
2015-09-10	143	32	207	212	0	52	3	4455	0	0	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5114	118451
2015-09-09	145	55	436	590	2	28	16	2955	1	2	2	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4240	114211
2015-09-08	143	89	295	368	6	22	0	16	29	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	972	113239
2015-09-07	148	42	270	124	2	5	1	3	0	6	2	1	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	695	112544
2015-09-06	140	45	126	85	0	7	0	4	0	2	0	1	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	546	111998
2015-09-05	144	53	107	110	1	5	54	110	0	1	4	1	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	740	111258
2015-09-04	144	34	110	147	1	2	42	11	0	0	3	4	128	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	629	110629
